ObjectID,Plat-Lot#,StreetAddress,city,state,Zip,ZipCode,geo_score,geo_address,geo_lat,geo_lon,List_type,Class Desc,Housing Units,Tax_Value$,Tax_Value,Tax_Bill$,Tax_Bill
067-0317-0000,067-0317-0000,240 JEWETT ST,Providence,RI,2908,02908,100,"240 JEWETT ST, PROVIDENCE, 02908",41.83238841,-71.42610044,City-owned Tax Sale,CI Vacant Land,0,"$25,200.00 ",25200.00,$926.12 ,926.12
067-0318-0000,067-0318-0000,232 JEWETT ST,Providence,RI,2901,02901,100,"232 JEWETT ST, PROVIDENCE",41.83246622,-71.42567191,City-owned Tax Sale,CI Vacant Land,0,"$26,100.00 ",26100.00,$959.20 ,959.20
067-0321-0000,067-0321-0000,233 West Park,Providence,RI,2908,02908,89.04,"233 W PARK ST, PROVIDENCE, 02908",41.83191323,-71.42612148,City-owned Tax Sale,Industrial,0,"$402,900.00 ",402900.00,"$14,806.60 ",14806.60
067-0324-0000,067-0324-0000,235 West Park,Providence,RI,2908,02908,89.04,"235 W PARK ST, PROVIDENCE, 02908",41.83190463,-71.42618061,City-owned Tax Sale,Industrial,0,"$214,100.00 ",214100.00,"$7,868.20 ",7868.20
067-0560-0000,067-0560-0000,337 ORMS ST,Providence,RI,2908,02908,100,"337 ORMS ST, PROVIDENCE, 02908",41.83373795,-71.42358333,Unconfirmed Vacated,2 - 5 Family,2,"$86,000.00 ",86000.00,"$4,620.40 ",4620.40
067-0569-0000,067-0569-0000,124 CALVERLY ST,Providence,RI,2908,02908,100,"124 CALVERLY ST, PROVIDENCE, 02908",41.83241823,-71.42119809,Unconfirmed Vacated,2 - 5 Family,4,"$137,200.00 ",137200.00,"$2,641.12 ",2641.12
068-0045-0000,068-0045-0000,473 Chalkstone Ave,Providence,RI,2908,02908,100,"473 CHALKSTONE AV, PROVIDENCE, 02908",41.83622037,-71.42240275,Waste Collection ID,2 -5 Family,3,"$107,500.00 ",107500.00,"$3,628.16 ",3628.16
068-0163-0000,068-0163-0000,4 ABE CT,Providence,RI,2908,02908,100,"4 ABE CT, PROVIDENCE, 02908",41.83755225,-71.42162361,Waste Collection ID,2 -5 Family,2,"$91,900.00 ",91900.00,"$3,101.64 ",3101.64
068-0173-0000,068-0173-0000,55 FILLMORE ST,Providence,RI,2908,02908,100,"55 FILLMORE ST, PROVIDENCE, 02908",41.83868211,-71.42114606,City-owned Tax Sale,Residential Vacant Land,0,"$4,300.00 ",4300.00,$145.16 ,145.16
068-0174-0000,068-0174-0000,57 Filmore,Providence,RI,2908,02908,87.62,"57 FILLMORE ST, PROVIDENCE, 02908",41.83870402,-71.42113248,City-owned Tax Sale,Residential Vacant Land,0,"$4,300.00 ",4300.00,$145.16 ,145.16
068-0231-0000,068-0231-0000,45 Derry St,Providence,RI,2908,02908,100,"45 DERRY ST, PROVIDENCE, 02908",41.83734569,-71.42030508,PRA owned,Residential Vacant Land,0,"$15,800.00 ",15800.00,$533.28 ,533.28
068-0232-0000,068-0232-0000,43 DERRY ST,Providence,RI,2908,02908,100,"43 DERRY ST, PROVIDENCE, 02908",41.83732123,-71.4203225,City-owned Tax Sale,Residential Vacant Land,0,"$4,300.00 ",4300.00,$145.16 ,145.16
068-0233-0000,068-0233-0000,41 DERRY ST,Providence,RI,2908,02908,100,"41 DERRY ST, PROVIDENCE, 02908",41.83729677,-71.42033991,City-owned Tax Sale,Residential Vacant Land,0,"$6,500.00 ",6500.00,$219.40 ,219.40
068-0234-0000,068-0234-0000,39 DERRY ST,Providence,RI,2908,02908,100,"39 DERRY ST, PROVIDENCE, 02908",41.83727231,-71.42035733,City-owned Tax Sale,Residential Vacant Land,0,"$6,500.00 ",6500.00,$219.40 ,219.40
068-0351-0000,068-0351-0000,8 DAN ST,Providence,RI,2908,02908,100,"8 DAN ST, PROVIDENCE, 02908",41.83720631,-71.41901735,Waste Collection ID,Single Family,1,"$97,400.00 ",97400.00,"$1,721.96 ",1721.96
068-0362-0000,068-0362-0000,44 LYDIA ST,Providence,RI,2908,02908,68.47,"74 LYDIA ST, PROVIDENCE, 02908",41.83538855,-71.41830622,City-owned Tax Sale,Residential Vacant Land,0,"$11,500.00 ",11500.00,$388.16 ,388.16
068-0527-0000,068-0527-0000,18 WAYNE ST,Providence,RI,2908,02908,100,"18 WAYNE ST, PROVIDENCE, 02908",41.83598224,-71.41966468,City-owned Tax Sale,Residential Vacant Land,0,"$4,600.00 ",4600.00,$155.28 ,155.28
068-0575-0000,068-0575-0000,10 GODDARD ST,Providence,RI,2908,02908,100,"10 GODDARD ST, PROVIDENCE, 02908",41.83502152,-71.41793369,Waste Collection ID,2 -5 Family,3,"$87,800.00 ",87800.00,"$2,963.28 ",2963.28
068-0753-0000,068-0753-0000,58 Wayne St,Providence,RI,2908,02908,100,"58 WAYNE ST, PROVIDENCE, 02908",41.83557213,-71.42172091,PRA owned,Residential Vacant Land,0,"$16,300.00 ",16300.00,$550.16 ,550.16
068-0757-0000,068-0757-0000,238 ORMS ST,Providence,RI,2908,02908,100,"238 ORMS ST, PROVIDENCE, 02908",41.83397494,-71.41985181,Waste Collection ID,2 -5 Family,2,"$74,600.00 ",74600.00,"$2,517.76 ",2517.76
069-0009-0000,069-0009-0000,174 CHAD BROWN ST,Providence,RI,2908,02908,100,"174 CHAD BROWN ST, PROVIDENCE, 02908",41.83920666,-71.4262089,Waste Collection ID,2 -5 Family,3,"$116,400.00 ",116400.00,"$3,928.52 ",3928.52
